,Reviews
562,"
awesome color. good specs and software works flawless...thanks for oxygen os
"
563,"
Android 12 diya hota to aur better hota..long term benefits hota customer ko...bcoz another brand giving Android 12 with 3 year update promise in same prise point of view
"
564,"
Worst product very frequently signal dropping, I found this is mobile defect.Don't buy this product
"
565,"
Good experience,camera quality would be better,fast changing ok but getting more heated.Over all just okay.
"
566,"
Product is good. But there's a problem with on call recording, other person will know that the call is been recording.
"
567,"
Fingerprint reader works really well,Battery life is really good supported with super fast charging ,Camera quality is nice,Overall it's a really good device .
"
568,"
Best phone under 25kNice battery lifeFront cam Avarage performanceBack cam ok..Performance super ..Must buy in under 25k
"
569,"
Happy 😊😊Nice product with this price I m happy to buy this but one this is one plus work more on camera I'm slightly dissatisfied otherwise all this is good in this product 👍👍👍👍👍👍👍👍👍👍
"
570,"
I got it for 16999 ,where i got a great exchange deal for my old phone which was 4 year old
"
571,
572,"
One of the best budget phone with all the core or necessary features. Almost 30days over and impressed with the phone performance. Good Battery . Camera (Rear) is good at day light but needs to be improved for night / low light. Over all good phone.
"
573,"
I give 3 ratingBattery backup ok ok 3 *Cemara  ok ok 3*Display.  Good 4*Day to day working 4*Charger 5*
"
574,"
Its a very poor quality product am just regreting my self after buy this in just 2 days.features are not working properly just mood is not happy after using of this product....dont buy this specially online..even service center are not near me..
"
575,"
Not a good phone as such, no proper security. I have experienced that anyone can open the phone even after having the security & face lock. Having issues with the warranty as well. Cable club seems to be of no use.
"
576,"
Batary backup 5starCamera 4 starDisplay 5starPerformance 4 starOverall to nice experience with this phone.
"
577,"
Fingerprint works awesome, haven't charged still from 6th March evening with 100% batt till 8th Morning 6.30am ,batt @ 8%...installing all the apps and updating of phone ....Xellent battery life
"
578,"
Display Quality📱 7/10Battery 🔋 8/10Camera 📸 7/10Sound 🔊 6/10Charging Speed 9/10Processor Speed 🏎️ 8/10For Gaming Purpose 🎮 7/10Overall Average In This PriceBut i am not satisfied 😑
"
579,"
Worst smartphone at this price. Features as simple as, disabling flash messages and importing contacts from sim card are not available. Be aware of the hype of this brand. This phone can eat up your precious time and money..
"
580,"
This is good product from OnePlus brand. Go for it . Smooth as butter
"
581,"
Quality of OnePlus phones is no longer the same.Pros-* Camera*In hand feel*Display is okay.Cons-* Battery*Heating*Bugs*Speaker sound*Charging speed
"
582,
583,"
Battery good, look great
"
584,"




                    The media could not be loaded.
                



 Scene touch problem
"
585,"
BEST EVER EXPERIENCE OF MY LIFE AFTER USING 4 YEARS NOKIA STOCK UI , OXYGEN OS IS THE BEST SOFTWARE I HAVE EVER SEEN & USED , JUST LOVED IT.CAMERA IS DECENT , SOUND , BATTERY , CHARGING , DISPLAY, FINGERPRINT READER IS BEST
"
586,"
Awesome phone. No words for this phone as usual extraordinary 👍🏻👌🏻👌🏻👌🏻
"
587,"
Best looking phone. Nice processor. Camera is also good. Battery is ok and can last easily for a day at moderate usage.
"
588,"
Waight, build quality, look, size, battery backup, 65W Super VOOC charging, camera, everything in this price range (25K) is well justified 👌
"
589,"
Good phone. Stylish design. Awesome performance. Nice quality photos.
"
590,"
Battery life too bad and always Mobile going like MI cell phone 😑😑
"
591,"
I have been using OnePlus for the past 8 years .. this is not it !!It's bad ram quality , hangs  ,heats up.Camera is poor. Battery life is so-so.Don't buy
"
592,"
Heat up when charging or Bluetooth is being used and sometimes gets random heat up.
"
593,"
Love it. But finger print sensor is a bit hit or miss at times.
"
594,"
I EXCHANGE MY OLD PHONE (POCO M2 PRO) AT THE EXCHANGE PRICE OF 10200AMAZING VALUEPRODUCT PROS:CAMERA IS GREATSMOOTH DISPLAYFAST UIPRODUCT CONS:BATTERY IS BELOW AVERAGEVIDEO RECORDER  NOT GOOD
"
595,"
The performance and battery life are great but this phone's camera is complete trash, a total let down compared to previous Nords too.
"
596,"
Very light weight and value for money.Camera quality is too good in this price.
"
597,"
Instagram not workingMobile Hit mobile Hang mobile setting Defrent to other Android mobile totally not understand
"
598,"
A big no if you are looking at Fluid Amoled and thinking to buy it. No colors are good. It is just looks like cheap quality of LCD display.
"
599,"
It's been 1 day only , but I must say You can see literally see the difference once you use this phone . In this range , one of the best of all .....superb till now .......battery , camera , processing speed very good
"
600,"
One plus is definitely a master piece i am in love with it please do get one for your self value for money
"
601,"
Battery back is very poor. Phone getting heat after half an hour continous use.Battery draining very fast.Before I was using nord CE & that was good phone but this is not upto the mark.
"
602,"
Superb
"
603,"




                    The media could not be loaded.
                



 Camera quality not good
"
604,"
Fingerprint reader awasomeBattery's betterCamera also daylight betterSpeaker not good for this device it's nothing smooth
"
605,"
I have been using this since last month and till now I haven't faced any issue..Camera quality is too good and 90Hz refreshing rate is  pretty good ..Overall I am satisfied..!
"
606,"
Good in performance, build quality, battery backup, calls, and all features.Need to improve in camera quality.Sounds are okay.But there is no option to change the battery icon style to a circle (which is I love in onepulse )
"
607,"




                    The media could not be loaded.
                



 I like
"
608,"
Camera quality very basic, finger reading power not quick, back cover quality not good as provided by OnePlus. Processer is not quick Over all this phone price should be 15000 arround because there is lots of phone available in this price.
"
609,"
After 1 week of usage .. I am happy with the purchase .. battery camera calling and touch .. all good .. for basic usage and surfing . Some jitters while using the messaging app .With hestation I brought this .. but I am happy now
"
610,"
Phone is good at the price but camera quality is less then other one plus phone. Need update for camera.Fast charging is too good but battery back up is not good.
"
611,"
3rd grade camera, display quality like 12k phone. If only you want to show brand logo then go and get.
"
612,"
Phone gets heat so soon, no heavy games can be played for long, for normal use its ok, but can't play heavy games. UI is bad they mixed color os and oxygen OS.
"
613,"
Phone is very light and handy. I love it will update the feedback after few weeks of usage
"
614,"
Pros:Design: awesomeBattery: goodFast charging: awesomeDisplay: Amoled and light weightCons:Camera quality not upto the mark in this price rangeHeating issue is there
"
615,"
Till now everything is upto the mark and comparing price with other oneplus phones it provides bang for the buck.
"
616,"
Screen went black within one week of purchase without any physical damage. Service Center refused to cover under warranty
"
617,"
Best in this range for sure, need to improve bsic failings pad contacts & messaging while searching for anything, our search is delayed as we need to open separate contact section instead searching from dailer pad
"
618,"
I like this product ❣️Camera quality 😘
"
619,"
The phone is good but it is already used and returned by someone. This thing is very unexpected from brands like Amazon. I didn't bought it from sale even. This thing is nothing less than a kind of betrayal from coustomers.
"
620,"
Very nice prodect  very good kadian Prathamesh mast  foto good mobile good package good photo good sab proper mess good bade hang problem
"
621,"
Overall good budget phone by OnePlus , you will get all the high end features in this.Touch is good.Battery is ok .Camera is not good as compare to samsung same price phone.Little heating but manageable.
"
622,"
I'm facing battery heating problem while using phone with internet or connect to charger. This is not expected from this brand.
"
623,"
Face recognition, fast charging and light weight are the points I adore.
"
624,"
Low quality mobile no feel like oneplus same oppo reno 7 model , oneplus brand nowadays like oppo vivo realme same model no different .
"
625,"
2 days review , only issue is camera the camera quality like 5mp first and back both not satisfied  , this budget go on another mobiles don't buy ..
"
626,"
After a month's use1.Lags often2.network issues3.Audio issues during phone call4.not worth the money at all5.a bit overpriced
"
627,"




                    The media could not be loaded.
                


"
628,"
Good phone
"
629,"
This product is remarkable with the price range but the selfi camera really disappointed me, but still worthy for the money.
"
630,"
1.Charging my phone within 45min 0-100%2. Camera is very good during daytime but you can't imagine night photography is nightmare.3. Smooth gaming4. Respond quickly all time .Overall phone is best
"
631,"
Got it at good price after exchange. Very impressed with one plus product.
"
632,"
Hang problem is there. Once you have to receive calling back option not available if available working not properly
"
633,"
All set and ok. Selfie camera doesn't meet the expectations.
"
634,"
Option are limited in settings...Battery is Max a daySlim and weightlessCamera is okay...Processes is not up to mark to say about
"
635,"
Phone getting hang 5 to 6 times a day. Need to restart. Camera quality not good or rather not like traditional One plus. In process of returning back..
"
636,"
Nothing much happy with1+I dreaming this cellphone to buy but unable to buy now I have bought finnalyMuch happy
"
637,"
OnePlus Brand Ka Sasta Shahrukh Khan hai Ye Smartphone..... Features ke Name par Dabba Pakra Diya hai... ONEPLUS Brand Name ka Galat Use ho gya is Smartphone Par..... Kindly Don't Buy This Yaar...I am Already Stucked..
"
638,"
I have purchase this mobile is on 9th April of Rs 23,999 only. OnePlus mobile is a good for affordable price. Camera quality is so better and battery life is poor. Allover this mobile and it's features are very good.
"
639,"
Such a best mobile in this price range, everything thing is excellent. Go blindly with this product. One thing is that Amazon must be give  discount to all card holder. Not only icici credit card .
"
640,"
Just need original oxygen OS to be back in these OnePlus devices. Otherwise they are nothing but oppo devices with OnePlus logo!Camera needs improvement in low light.
"
641,"
Camera is not goodBettery down very fast (3.5 hrs)
"
642,"
Must but good quality phone. Everything is there in it.
"
643,"
Best light in weight and comfortable to handle... awesome performance
"
644,"
Phone hang hota h bt kam bt uska camara la jo aap h wo bahut hang krta h agar aap camera ke aap ko open krke 5 min bs rkho niche or camera niche jamin pe hona chahiye fir uske baad dekho
"
645,"
Medium phone having battery life less.Rest all fine
"
646,"
Very worst mobile..I never felt OnePlus Mobile feature will be so worst comparing to this model redmi 100%times better than this , since I m using more than year no battery heating  issue ,camera quality also very good 👍...
"
647,"
Superb interface and amazing camera specially front but if u do multitasking then battery backup very poor though u can charge fully very quick coz u hv 65W mega vocc charger which can charge u very fast... Others features gr8.....!!
"
648,"
this has one and the major issue of heating & just like Nord 2 I feel even this will blast someday.in this range I think samsung M33 is a lot better optjon
"
649,"
At this price range, mi offers more features. Over all it is a decent quality product. Started hanging when software updated. Then again ihad to factory reset it. Now it's working fine.
"
650,"




                    The media could not be loaded.
                



 Mobile was really cool.Light weight,fast charge,finger print,good battery life, excellent camera.Mobile is awesome just go for it 😉.  Big yes from my side 👍
"
651,"
Amazoing is playing with the amotions
"
652,"
Never ever buy this 3rd rate chinese fone. Absolutely useless. Most difficult to use and has its own stupid nuances. Totally frustrated. Big mistake to buy it.
"
653,"
Camera quality is very bad, and back camera lenses are too big.
"
654,"
Inbuilt radio not seen along with lack of stereo sound speakers and low level camera lense quality used for night photography. Needs to improve it in future updates. Days photos are good one. Battery is good one. I like it.
"
655,"
This is such an amazing phone. I have used it for a week now and the experience is amazing. Crystal clear photos, Alexa in built, no issues with any of the mentioned features.
"
656,"
As a One plus handsate not performing better comparison to other one plus set.. overall condition good..not better..one more thing Camara quality is also not good.. performing is not better.. overall average mobile
"
657,"
Not recommended as phone get heat badly during charging. It feels like it will burst immediately. Camera quality is average. Battery life is also avg.Good thing is that processor is very fast.
"
658,"
Just Ok phone not so good,Oppo Reno 7 is far way better...
"
659,"
Mobile hanged so many time, Battery life is very poorDon't by this phone...total wastage of money
"
660,"




                    The media could not be loaded.
                



 Battery camera sub super quality sabse upar hai lekin inki packing sabse ghatiya hai
"
661,"
I really liked the amoLED screen, battery life is good plus the 65W charger is damn supportive.🙌🏻It would have been better if it came out of box as Android 12.🤌🏻Overall product is GOOD.....👌🏻👍🏻
"
662,"
Mobile is good but just improve cameraquality and  battery because bafter 1 or 2 month battery services is to weak
"
663,"
Average phone, has got microphone Problems. Microphone doesn't work properly during phone calls other person can't hear you. Happens with each and every phone call even if network is verygood.
"
664,"
Outlook is too good ,light weight ,fast charging , battery backup also good ,the highlight is 2nano sim slot with sd card slot
"
665,"
According to specs price is so high, during record video high heating problem and battery draining very fast. Camera quality is not so good.
"
666,"
Price was too high... So dnt purchase this phone
"
667,"
OnePlus is always great, Superb phone from OnePlus.
"
668,"
I purchased it for a friend. He has been using it and found it satisfactory. Display is not quite good but average. Otherwise other feature and hardware are good.
"
669,"
Phone is good for normal routine use. And camera is best for the price.
"
670,"
I confused to buy realme 9+ pro vs nord CE 2.finally I brought nord CE2.best mid range smartphone.good internet speed,wifi and speed of operation.camera is not bad. worth to buy for 25000 for Nord CE2
"
671,"
Yr jb tumko iska lite version launch Krna hi tha toh phle hi bata dete ki iska light version bhi aayega toh m isko nhi leta or light version leta dono m koi khaas fark nhi h same h , balki light version aacha h
"
672,"
Configuration are awesome and great display with Fluid AMOLED.
"
673,"
Camera class.... Other things just ok...free accessories good... overall 4.5*
"
674,"
I am using 7 day I just know mobile camare is not good 64 mega pixel not work properly camera quality is not good pixel is blur and battery 🔋 back up is very poor not a 1days using I am upset purchase this phone
"
675,"
One plus nord ce 2 is a powerful performing phone which has good design and also has dedicated slot for memory cardI love this version of ce seriesI must say all of you go for it
"
676,"
Charging- superb fast 65w charger takes very small time to full battery.Camera-nice camera futures and clarity.Battery backup also good on this phone.Its come over 2 days
"
677,"
Overall unsatisfied, Camera quality is bad, performance of the mobile is not adequate,. Stuck and hanging issues in mobile
"
678,"
I am using this phone from 3days.Sound quality is not good. Battery life is very bad and didn't expect this from one plus.  Samsung is far better.
"
679,"
Camera quality should have been more. Price should have been bit less, Becoz for the lesser cost many other companies providing the same features and more even.
"
680,"
Ver slim and easy to handle.....after 15 days of usage i have noticed minor hanging issues....
"
681,"
In this budget segment, this is the best mobile as per me. I am happy with the overall performance.
"
682,"
Previously I used redmi note 4 over 4+ year but when I used OnePlus nore ce 2 5g it's quite bit disappointed me because of not having many more features.Thank you It's absolutely me opinion .
"
683,"
Phone is perfomance very slowPhone is hanged problems
"
684,"
Pic quality is very poor.  Total wastage of money.
"
685,"
Jio to jio vedio call feature not working  I replace again after replacement  I got new mobile without having jio to jio vedio call and if I confrence more than one people my voice is not audiable for other.
"
686,"
Once upon a time #ONEPLUS is just awesome but now after using it, hope has come up. Maybe I will never buy it again in my life. I did not expect it from OnePlus..shame of you OnePlus.😥😥
"
687,"
Worst phone. 8gb ram is just bull shit I think it won't even have 4gb ram very bad phone.  Camera quality is very poor  and not worth it. please don't buy this phone is waste your money .
"
688,"
Superb Camera Quality .  Fast Charging... Long Battery Life ... Owsome Fingprint reader .... I can say totally Paisa vasul mobile .....If U are lover of One Plus then go for it..
"
689,"
When you compare with Samsung M52 with same price tag you feel incomplete for wide range and front camera. The size  could be better if it would be 6.5 inches.Overall handy and lightweight .
"
690,"
Worth product but can feel the hang. Handy phone, superfast charging, extraordinary display and touch feel, sound quality is clear too.
"
691,"
Actually it comes with overall positive outcomes and I like this brand so I gave it to full 5/5 to all its services. And in box i have found back cover also but it is not mentioned above. So it's a big pros
"
692,"
Simply superb used after one moth bettery good and can is good ram is good
"
693,"
Touch sensor is not as expected . I want to return it
"
694,"
It was nice exchanged deal and quality is good in this price range.
"
695,"
3 Month Use karne ke baad Phone main koi problem nhi aayi + Bgmi Bhi khelta hun 4 hours DailyAmazing Phone
"
696,"
Heating issue facing but overall best
"
697,"




                    The media could not be loaded.
                



 The phone looks good and run smooth but I’m not satisfied With the camera quality.
"
698,"
Easy to operate ....quick response!!all over fit in your budget !!!!:::
"
699,"
It could have been better. The brand has certainly lost trust by making these kind of phones. Not so cool and refined design
"
700,"
No problem till now👍 very smooth and lag free, and very nice comparing to one plus Nord ce1.
"
701,"
Value for money smooth and the look of phone is great
"
702,"
Worst phone in my life, mobile over heating on charging and discharging very fast, mobile are ready for any time blast. Amazon not respond for replacement ,IAM sell out the mobile 18k.
"
703,"
Camera apk a little laggy
"
704,"
Instagram is not working properly,camera will enhance the phone,videos on YouTube,Amazon prime are getting stuck at one place and also there aspects ratio is also not proper.
"
705,"
Phone is sleek.Display is bright and crisp.Camera could have been a little better.Battery life did really surprise me.Overall it's a good phone .No major issues.
"
706,"




                    The media could not be loaded.
                


"
707,"
Battery charges in 20min.Soft touch screen.Clear display.Faster Ram. So no hanging.Overall good phone
"
708,"
1. Battery life is GOOD.2. Front camera should be better.3. Light weight & slim body.4. No heating issues so far.Overall a good buy for mid level budget.
"
709,"
Superb..!!No more words it is awesome ..!!
"
710,"
Bhot hi bakwas phone hai jab bhi video banane lagi tabhi hit ho jata hai or video ko rokna padta hai agar nahi roko to massage flash hota hai ki your phone too heat
"
711,"
i am purchased OnePlus Nord CE 2 5G mobile on 28-Apr-2022. it is not charging properly .I am requested to replace on 05-May 2022. But they are denied replacement and suggest to technician visite report.
"
712,"
I've been using this mobile since one month, the followings are the problems:1. Hanging2. Over Heating3. Camera quality is poorSo many bugs, those are not fixeing by the OnePlus.
"
713,"
Almost powerful phone but normally worm ho raha haiGood charging speed
"
714,"
No performanceNo camera clarityAfter one week getting hangingBattery performance is gud
"
715,"
Best phone in this range, superb part is charging so fast 30 to 100% within 20 minutes. I loved it 🤩. No heating issue, camera open and flashlight gesture are awesome. Go for it.
"
716,"
Good
"
717,"
Over all the phone is good. I used more than a week, till no issues.  Worth to buy a good product.Only one thing is missing Earphone, if earphone one plus  is affordable it’s very nice.
"
718,"
Best camera selfie&back both, fast processing on gamings, displaytouch is ausum. Battery 🔋 remains for 2 days in 1full charge. Best launch from OnePlus team
"
719,"
Just go for it , a fabulous phone which comes with the pedigree of one plus and gives you a sense of premium ness from the first time you hold and use it.
"
720,"
1. Back is plastic which get heat fast while charging2. sound is not good.3. Just one plus logo but featured like Redmi4. Screen is good
"
721,"
Battery backup I get as one day,because of my office calls and work, if not I will get the battery backup another half day
"
722,"
Very light weight and easy to handle, camera quality not that good.
"
723,"
Software omitted and phone given to authorise centre for software.we have not satisfied.please ensure that subject phone is working properly otherwise replacement will be done under warranty
"
724,"
Almost all features r good in this, only negative is selfie camera is not satisfying
"
725,"
Battery life and overall experience is good
"
726,"
Buy Nord 1 n ahalf year ago. The screen damaged n the repairing cos ia very expensive..please don't buy
"
727,"
Meet my expectations it's best for this price
"
728,"
Android auto wont work. phone wont detect on my nexon android auto.Call recording feature is pathetic, it keeps shouting ""call is being recorded""Not happy with the phone at all.
"
729,"
Phone is goodButCamera quality is not good.
"
730,"
Camera quality is not as expected
"
731,"
Fingerprint is superfast.Camera is goodPhone is fast due to 8 gb ram.Gaming is powerful.Only battery drains lil fast but thats ok.Charging 100% in just 15-20 mins.
"
732,"
Battery backup is good.Camera is decent.Did not face any heating issues.Video quality is good.Sound quality is decent.No hickups till now after 2 weeks of usage.
"
733,"
Worest phone from One plus. 64mp camera is working like normal 4mp camera.
"
734,"
No multiply windows screen too shoddy bad battery life and the technology has got me back an my OnePlus 5 was much better
"
735,"
Overall good phone in this price segment, you will get Audio Jack, dedicated SD card slot and Dual Sim here.
"
736,"
All is good but only mute option is active,And recording call not active properly, when I use recording option the calling person realized recording his call.Plz updated this type of query..
"
737,"
Good phone, can go for it, good performance, good gaming also, fast charging yes.
"
738,"
I want to return my mobile and want a refund of amount because this phone have a technical and electronic problem. When we receive or do call then voice is not clear and voice cracking during calls
"
739,"
Heating problem is there in mobile ... I replaced the item and got another one both one has same heating problem. In start battery backup is good but after sometime it is little bit down.
"
740,"
After using 2 months am writing this review. hanging problem exist which is not expected being one plus brand also camera is not good. its light weight and looks good. overall an average product
"
741,"
MOBILE PHONE CONDITION IS AFTER CHARGE VERY HIGH TEMPERATURE. I have raise complain in 2 days but till time not response.
"
742,"
Very worse phone. heating too much, never expect from oneplus. I Had replaced but new one is also same. what to do (there is no refund policy)
"
743,"
Excellent build and os quality
"
744,"
Affordable price and cool version
"
745,"
I bought this phone all things were good, whosoever plan to purchase this please don't forget to add a power bank in your cart. because you need this also.. (overall not bad for workholic guys 🙃)
"
746,"
Best phone under 25k.it's camera too good.display also Good.charging Is so fast.i am satisfied with this price range😍😍
"
747,"
Battery is very Bad and phone heats up a lot
"
748,"
Iam i think 2018 i started to buying mi mobile those days are using miIam addicted to mi 😃But now i love oneplusOneplus launched budget mobile and also good quality maintenance
"
749,"
Plastic built is big con at this price should have been glassCamera is average
"
750,"
Nice
"
751,"
It's a nice 5g super fast charging phone.
"
752,"
I liked phone from day one
"
753,"
Review After using 5 days1. Super fast processor2. One and half day battery3. Slim n fit4. Camera is superb5. Light weight6. Blue color is looking sexyBlindly go for it
"
754,"




                    The media could not be loaded.
                



 It charges pretty fast. The camera is not that great pretty average but it’s worth the price and battery life not bad 🙌🏻 The finger print sensor is fast too
"
755,"
After two weeks of usage, volume and power buttons are not working properly and getting 4-5 seconds lag
"
756,"
The camera is very amazing and the battery charging is very fast, although the battery is a little work, the only drawback is the rest overall it is quite great in this budget
"
757,"
Screen size may be slightly increased.
"
758,"
Phone is awesome and worth its price. Camera, performance and look is awesome but disappointed with battery life. It's battery life may have been increased to give an fully awesome experience.
"
759,"
I have ordered this phone due to it's headphone jack.Camera quality is pretty good.Pubg gaming is also good.Charging timing is approximately 15 mins for 80 percent.
"
760,"




                    The media could not be loaded.
                



 Very nice
"
761,"
Very bad product by 1 plus. company ka phone bikne laga aur quality down kar diya
"
762,"
A good phone to be handled with one hand wrt size, slim one, light phonePeople are complaining about speaker...But I don't see that until you need woofers!!!
"
763,"
Sirf negative news fela rkhi hai is phone ke baare me...it is a good phone but yes it is for non gamers
"
764,"
High cost low value phone
"
765,"
Very nice phone: no problem, camera display and everything else is great
"
766,"
1.No Patten lock2. Over heat all time while charging/camera on/hotspot on/and application backround run3. Camera not as expected4. Some options are missed in settings itself
"
767,"
Mobile is very good in all the aspects . Charging time 0- 100 % in 31 minutes. Battery backup is also very good .very smooth to handle.camera quality is good in but not so great.
"
768,"
This product has a bug. The fingerprint sensor does not work. You can unlock your phone without a pin or fingerprint scan.
"
769,"
Could be better compared with 9RT but good for budget range
"
770,"
Good choice for a low cost luxury
"
771,"
Good quality and very good performance
"
772,"
Phone is smooth. OS is fine. Display is bad, even it is Amoled. Nothing compared to any good Samsung phone. I was a user of Samsung A30 and wish I could switch back to it.
"
773,"
Phone is hanging every now and then. Seems many users facing this. Hope we will get some response from Amazon/one plus regarding this. Camera not upto the mark, it's not like other high end one plus phones
"
774,"
Decent phone for normal use. Good for connectivity as mobile internet speed reached almost 11 MB/s. If you need a dedicated phone for gaming or for photography then look out for the alternatives.
"
775,"
Battery quality is very bad 😞😞😞 and camera quality quality is good in starting but when not good
"
776,"
Lot of heating issue after using phone continuously for 20 minAlexa is not working properlyFirst time taken OnePlus because of brand but totally disappointed
"
777,"
very bad product, Battery life is low , set is hanging, its software don't support most of app. pls don't purchase any products from Rocket Kommerce LLP the seller not responding for returning of products
"
778,"




                    The media could not be loaded.
                



 Good
"
779,"
Very good mobile.. amazing features amazing touch screen experience.good camera..bettry and sound superb..i m very happy to buy one plus nord ce 2 5g..thanku Amazon for super fast delivery..
"
780,"
The phone hangs at some points and the the calender app does not open at all, camera also has some issues , overall this product does not satisfies the feeling of using an one plus product..
"
781,"
This is really unique phoneUnder this price.Got a wonderful productThanks to Amazon
"
782,"
Average phone for day to day usage
"
783,"
Good mobile.. good performance...but the speaker is not good as aspects..and camera also ...3.5 jack also not good sound in headphone...so 1+ look this problem..
"
784,"
Amazing piece of technology in hand in budget.Great fit in hand. Light weight.
"
785,"
You should buy this phone, if you want a premium feel in a budget. However, due to the cost, expect compromises.The biggest disappointment could be battery back up.
"
786,"
Phone is very good and slim or looking good but battery backup is less.
"
787,"
After 3 month of usage phone is working well in battery backup as well as day to day routine task.
"
788,"
Pretty good phone in budget got it for 22000 because of sbi card offer .
"
789,"
This mobile is just average. Not as expected. Nord 1 was way better to this.
"
790,"
WhatsApp recieved pics doesn't show in gallery quickly it takes time to show n gallery othervise it gaming camera(except light control) display (should be 120 hz) battery, processor is best
"
791,"
Decent Camera,Classy look,light weightoverall good but slightly heats up after using Hotspot for some time.
"
792,"
Power ful performance.I am very glad to biy the phone.Pura Paisa wosul hai bhai.🥳😀😀
"
793,"
It's wonderful. Just buy it. Good camera, great battery, fast charging and everything you need in daily life. All these functions in reasonable price. Thanks OnePlus.
"
794,"
Pros :UIFast ChargingCons:Camera  qualityBattery life:- drains very fastHeating issuesNot upto the mark product.
"
795,"
Faulty piece bought it 2days bought it 2days ago show update everytime and when we do the update it get stucked i took the new the one plus service 2times but it does the same thing always
"
796,"
Very good Phone and all functions are very smooth.
"
797,"
Nice camera battery life very good an super fast charging
"
798,"




                    The media could not be loaded.
                



 Value for money.If your budget is around 25kMust be go for this mobile .
"
799,"
Good phone but battery backup needs to be improved. Camera is not worth at price of 24000
"
800,"
Like cameraKeypad speedTouch screenResolutionLocking systemScreenshotThickness of mobileFinishing of edge overall satisfaction
"
801,"
Display is flickering and blue color tempered on overall screen.
"
802,"
Good...working perfectly...no issues...packaging was also good and very fast delivery
"
803,"
Battery life not upto the mark.
"
804,"




                    The media could not be loaded.
                



 Explained in the video!
"
805,"
Satisfied with mobile
"
806,"
Battery is not good, wont last a day, drains too fast and also heating problem present
"
807,"
Performance Exceptional no lags..Fast charge.Camera and battery backup could have been better at this price range
"
808,"
Working alright.
"
809,"
OnePlus always surprises buyers, by giving good features In fair price 🔥, this device is amazing 🥰🤗🔥🔥
"
810,"
No video bcoz i purchased for someone else
"
811,"
I liked the compact design and smooth working of the phone. This is a light weight phone with a good look. The camera is very good. Bahamas blue colour really suits this model.
"
812,"
Nice product, and delivered so quick..Thank you Amazon
"
813,"
Heating issue if you playing YouTube or do any task phone gets heating
"
814,"
Awesome Phone...Btry backup is good.Camera also good.And look very highly Standard.
"
815,"
I don't think if you Guys selling the product so costly you should provide same day service, and you should provide water proof facility also. Camre quality not so good what I supposed.
"
816,"
Writing my review after 15 days of use...4500mah battery not enough.and if we use the phne continuesly,there is heating problem, other than that, everything is fine
"
817,"
यह मुझे बहुत ही अच्छा लगा है।
"
818,"
I dislike this phone. Android 11 very bad. And No Automatic call recorder. Jab aap call record karoge to other side bhi pta chal jata hai. Bahut hi ghatiya function.
"
819,"
All over phone is good but sometimes I miss the alert slider  and camera is not according to OnePlus level
"
820,"
But as I'm one plus user from couple of year happy to you this product. But the processor is slow some time get hang while switching apps
"
821,"
itna bhi koi khas nahi
"
822,"
Nice looking phone, with great display,but camera is not OnePlus brand quality, overall good smart phone, I think it's little overprice of you get it under 20000 than its a killer deal
"
823,"
I have lots of expectation on One plus. But I am very disappointed. The reasons are;1. Camera quality is bad.2. And battery life is very bad.3. Fingerprint reader is better.
"
824,"
Thank you Amazon for providing such good phone for unbelievable price, as always Amazon delivery was before time.Thanks a lot Amazon
"
825,"
As per OnePlus image not quality, OnePlus getting down in quality
"
826,"
Good look, good battery life, little low volume as only one speaker. Screen performance is very nice. Camera is good in day time.
"
827,"
Good Mid range phoneLight weight - good feel on handSuper fast chargingDecent battery back upDiplay is smooth and Elegant .Camera quality is okOverall classy phone
"
828,"
The paint work is not good bcz it's easily scratch with  small things which can visible and looks soo bad.. otherwise the battery performance, camera performance and software is exllent.
"
829,"
Overall good pakage in 25k ...But oneplus should work on battery...need to charge twice in a day in you use more than 6 to 7 hours
"
830,"
Fast charging 40 mins full charge from 10 to 100% and not heating worth mobile
"
831,"
It's really amazing phone but face lock not work properly face lock rating 10/2 just because face really not work.
"
832,"
Will share details review later.
"
833,"
Wonderful phone with amazing battery life. A great buy considering 10% additional discount available with SBI card
"
834,"
If want brand definitely go for it, Paisa vasul product looks very good, handy, sound, display, very good, camera averageNight pic not goodGo for it...
"
835,"
The phone was getting charged superfast during 1st week and then the charging time now is taking more that 4 hrs with charger received in th box and it's been plugged in to the same switch socket
"
836,"
Nice product,good performance,But stereo speaker is not available only mono type speaker only available and please improve the delivery speed for non prime Amazon customer.  Thank you 😊
"
837,"
Excellent phone with power packed performance
"
838,"
Phone is good and everything is ok. When I unboxing mobile, th sim slot ejector pin is missing. How can I claim this? Amazon, Please reply meAccording this matter I'm so disappointed.
"
839,"
All over phone is gud, major concern is it has some bug example when u r using some app n suddenly u press home button ur screen will appear without icon like phone is hang
"
840,"
Feeling loved with OnePlus
"
841,"
Ya .I like it..all specifications are good.its small negative is front camera..otherwise good
"
842,"




                    The media could not be loaded.
                


"
843,"
Camra Quality poor 2/5.... Battery backup 3/5..... Build Quality 4/5..... Display best...
"
844,"
Fast ChargingLag free interfaceWorks like ChArM
"
845,"
Bought this product a month ago now the phone hangs every timeBattery doesn't last for a dayKeeps on cancelling calls even while still talkingVery bad phone from One plus
"
846,"
Please don't buy this phone it is not working properly every time hanging one of the worst phone OnePlus hanging problem too much
"
